date,business_name,email_or_contact,subject,status,followup_due,notes
2026-05-06T15:56:36,Green Life Dental,Greenlifedental11@gmail.com,Quick review mini-audit for Green Life Dental,sent,2026-05-11,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to Greenlifedental11@gmail.com (status 202)""}. Status code: 200"
2026-05-07T08:17:16,Waterloo Medical Cosmetics,info@waterloomedicalcosmetics.com,Quick review mini-audit for Waterloo Medical Cosmetics,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to info@waterloomedicalcosmetics.com (status 202)""}. Status code: 200"
2026-05-07T08:17:16,Toronto Medical Aesthetics,info@tmaclinic.com,Quick review mini-audit for Toronto Medical Aesthetics,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to info@tmaclinic.com (status 202)""}. Status code: 200"
2026-05-07T08:17:16,Infinite Beauty MD,info@infinitebeautymd.com,Quick review mini-audit for Infinite Beauty MD,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to info@infinitebeautymd.com (status 202)""}. Status code: 200"
2026-05-07T08:17:17,Kitchener Waterloo Cosmetic Clinic,info@kwcosmetic.com,Quick review mini-audit for Kitchener Waterloo Cosmetic Clinic,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to info@kwcosmetic.com (status 202)""}. Status code: 200"
2026-05-07T08:17:17,SkinMed Aesthetics and Laser Clinic,info@skinmedclinic.com,Quick review mini-audit for SkinMed Aesthetics and Laser Clinic,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to info@skinmedclinic.com (status 202)""}. Status code: 200"
2026-05-07T08:17:18,Hush Beauty MD Anti-Aging & Skincare Centre,info@hushbeauty.ca,Quick review mini-audit for Hush Beauty MD Anti-Aging & Skincare Centre,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to info@hushbeauty.ca (status 202)""}. Status code: 200"
2026-05-07T08:17:18,Yaletown Dentistry,info@yaletowndentistry.com,Quick review mini-audit for Yaletown Dentistry,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to info@yaletowndentistry.com (status 202)""}. Status code: 200"
2026-05-07T08:17:18,Park Place Dental,info@parkplacedental.ca,Quick review mini-audit for Park Place Dental,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to info@parkplacedental.ca (status 202)""}. Status code: 200"
2026-05-07T08:17:19,River Dental,info@riverdental.ca,Quick review mini-audit for River Dental,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to info@riverdental.ca (status 202)""}. Status code: 200"
2026-05-07T08:17:19,Seattle Dental Co.,hello@seattledentalco.com,Quick review mini-audit for Seattle Dental Co.,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to hello@seattledentalco.com (status 202)""}. Status code: 200"
2026-05-07T08:17:19,Pearl Dental NYC,info@pearldentalnyc.com,Quick review mini-audit for Pearl Dental NYC,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to info@pearldentalnyc.com (status 202)""}. Status code: 200"
2026-05-07T08:17:20,Lowry Advanced Dentistry,info@denverdental.com,Quick review mini-audit for Lowry Advanced Dentistry,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to info@denverdental.com (status 202)""}. Status code: 200"
2026-05-07T08:17:20,Fine Tuned Autos,finetunedauto@hotmail.com,Quick review mini-audit for Fine Tuned Autos,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to finetunedauto@hotmail.com (status 202)""}. Status code: 200"
2026-05-07T08:17:21,The Chiropractic Office & Health Associates,appointments@thechiropracticoffice.ca,Quick review mini-audit for The Chiropractic Office & Health Associates,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to appointments@thechiropracticoffice.ca (status 202)""}. Status code: 200"
2026-05-07T08:17:21,Triangle Physiotherapy,info@trianglephysiotherapy.com,Quick review mini-audit for Triangle Physiotherapy,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to info@trianglephysiotherapy.com (status 202)""}. Status code: 200"
2026-05-07T16:45:20,Dentalship Dentistry,Info@dentalship.ca,Quick review mini-audit for Dentalship Dentistry,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to Info@dentalship.ca (status 202)""}. Status code: 200"
2026-05-07T16:45:20,Bloor West Dentistry,info@bloorwestdentistry.ca,Quick review mini-audit for Bloor West Dentistry,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to info@bloorwestdentistry.ca (status 202)""}. Status code: 200"
2026-05-07T16:45:21,Smiles Dentistry,info@smilesdentistry.ca,Quick review mini-audit for Smiles Dentistry,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to info@smilesdentistry.ca (status 202)""}. Status code: 200"
2026-05-07T16:45:21,Downtown Toronto Dentistry,info@downtowntorontodentistry.ca,Quick review mini-audit for Downtown Toronto Dentistry,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to info@downtowntorontodentistry.ca (status 202)""}. Status code: 200"
2026-05-07T16:45:22,Alta Dental,info@altadental.ca,Quick review mini-audit for Alta Dental,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to info@altadental.ca (status 202)""}. Status code: 200"
2026-05-07T16:45:22,West Van Family Dental,info@wvdental.ca,Quick review mini-audit for West Van Family Dental,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to info@wvdental.ca (status 202)""}. Status code: 200"
2026-05-07T16:45:22,Nova Dental Clinic,info@novadentalclinic.ca,Quick review mini-audit for Nova Dental Clinic,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to info@novadentalclinic.ca (status 202)""}. Status code: 200"
2026-05-07T16:45:23,Westown Auto,info@westownauto.ca,Quick review mini-audit for Westown Auto,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to info@westownauto.ca (status 202)""}. Status code: 200"
2026-05-07T16:45:23,NV Auto,info@nvauto.ca,Quick review mini-audit for NV Auto,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to info@nvauto.ca (status 202)""}. Status code: 200"
2026-05-07T16:45:24,Basco Collision Centre,info@bascocollision.ca,Quick review mini-audit for Basco Collision Centre,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to info@bascocollision.ca (status 202)""}. Status code: 200"
2026-05-07T16:45:24,Toronto Physiotherapy,info@torontophysiotherapy.ca,Quick review mini-audit for Toronto Physiotherapy,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to info@torontophysiotherapy.ca (status 202)""}. Status code: 200"
2026-05-07T16:45:24,Toronto Physio & Wellness Clinic,info@416wellness.ca,Quick review mini-audit for Toronto Physio & Wellness Clinic,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to info@416wellness.ca (status 202)""}. Status code: 200"
2026-05-07T16:45:25,For Health's Sake,info@forhealthssake.ca,Quick review mini-audit for For Health's Sake,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to info@forhealthssake.ca (status 202)""}. Status code: 200"
2026-05-07T16:45:26,Map Rehab,info@maprehab.ca,Quick review mini-audit for Map Rehab,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to info@maprehab.ca (status 202)""}. Status code: 200"
2026-05-07T16:45:26,Evolve Dental Studio,info@evolvedentalstudio.ca,Quick review mini-audit for Evolve Dental Studio,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to info@evolvedentalstudio.ca (status 202)""}. Status code: 200"
2026-05-07T16:45:26,Oasis Dental Studio,info@oasisdentalstudio.ca,Quick review mini-audit for Oasis Dental Studio,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to info@oasisdentalstudio.ca (status 202)""}. Status code: 200"
2026-05-07T16:45:27,Jane and 7 Auto Collision,INFO@JANEAND7.COM,Quick review mini-audit for Jane and 7 Auto Collision,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to INFO@JANEAND7.COM (status 202)""}. Status code: 200"
2026-05-07T16:45:27,Kingsview Dental,info@kingsviewdental.ca,Quick review mini-audit for Kingsview Dental,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to info@kingsviewdental.ca (status 202)""}. Status code: 200"
2026-05-07T16:45:28,Harmony Dental Studio,info@harmonydentalstudio.com,Quick review mini-audit for Harmony Dental Studio,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to info@harmonydentalstudio.com (status 202)""}. Status code: 200"
2026-05-07T16:45:28,JunctionWest Dental,info@junctionwestdental.ca,Quick review mini-audit for JunctionWest Dental,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to info@junctionwestdental.ca (status 202)""}. Status code: 200"
2026-05-07T16:45:32,Sauga Smiles Dental,hello@saugasmilesdental.com,Quick review mini-audit for Sauga Smiles Dental,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to hello@saugasmilesdental.com (status 202)""}. Status code: 200"
2026-05-07T16:45:33,Yonge & Merton Dental,info@yongemertondental.com,Quick review mini-audit for Yonge & Merton Dental,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to info@yongemertondental.com (status 202)""}. Status code: 200"
2026-05-07T16:45:33,Vibrant Square Dental,info@vibrantsquaredental.com,Quick review mini-audit for Vibrant Square Dental,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to info@vibrantsquaredental.com (status 202)""}. Status code: 200"
2026-05-07T16:45:34,Promenade Village Dental,info@pvdental.ca,Quick review mini-audit for Promenade Village Dental,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to info@pvdental.ca (status 202)""}. Status code: 200"
2026-05-07T16:45:42,CV Smile Studio,contact@cvsmilestudio.com,Quick review mini-audit for CV Smile Studio,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to contact@cvsmilestudio.com (status 202)""}. Status code: 200"
2026-05-07T16:45:50,Ellesmere Dental,info@ellesmerevillagedental.ca,Quick review mini-audit for Ellesmere Dental,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to info@ellesmerevillagedental.ca (status 202)""}. Status code: 200"
2026-05-07T16:45:58,Erin Mills Smiles Dentistry,info@erinmillssmilesdentistry.com,Quick review mini-audit for Erin Mills Smiles Dentistry,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to info@erinmillssmilesdentistry.com (status 202)""}. Status code: 200"
2026-05-07T16:46:07,Downsview Dental Arts,info@downsviewdentalarts.com,Quick review mini-audit for Downsview Dental Arts,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to info@downsviewdentalarts.com (status 202)""}. Status code: 200"
2026-05-07T16:51:53,Uptown Park Dental Clinic,info@uptownparkdental.ca,Quick review mini-audit for Uptown Park Dental Clinic,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to info@uptownparkdental.ca (status 202)""}. Status code: 200"
2026-05-07T16:51:53,Norgate Dental Centre,info@norgatedental.com,Quick review mini-audit for Norgate Dental Centre,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to info@norgatedental.com (status 202)""}. Status code: 200"
2026-05-07T16:51:53,New Westminster City Dentist,info@nwcitydentist.com,Quick review mini-audit for New Westminster City Dentist,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to info@nwcitydentist.com (status 202)""}. Status code: 200"
2026-05-07T16:51:54,Clayton Heights Family Dental,info@familydentalcentres.com,Quick review mini-audit for Clayton Heights Family Dental,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to info@familydentalcentres.com (status 202)""}. Status code: 200"
2026-05-07T16:51:54,Guildford Family Dentistry,info@guildfordfamilydental.com,Quick review mini-audit for Guildford Family Dentistry,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to info@guildfordfamilydental.com (status 202)""}. Status code: 200"
2026-05-07T16:51:55,Columbia Square Dental,info@columbiasquaredental.ca,Quick review mini-audit for Columbia Square Dental,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to info@columbiasquaredental.ca (status 202)""}. Status code: 200"
2026-05-07T16:51:55,Expo Yaletown Dentist,info@expodentist.com,Quick review mini-audit for Expo Yaletown Dentist,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to info@expodentist.com (status 202)""}. Status code: 200"
2026-05-07T16:51:55,Collingwood Community Dentist,info@collingwoodcommunitydentist.ca,Quick review mini-audit for Collingwood Community Dentist,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to info@collingwoodcommunitydentist.ca (status 202)""}. Status code: 200"
2026-05-07T16:51:56,Bay Dental Centre,contact@baydentalcentre.com,Quick review mini-audit for Bay Dental Centre,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to contact@baydentalcentre.com (status 202)""}. Status code: 200"
2026-05-07T16:51:56,Smile Well Dental Surrey,info@smilewelldentalsurrey.com,Quick review mini-audit for Smile Well Dental Surrey,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to info@smilewelldentalsurrey.com (status 202)""}. Status code: 200"
2026-05-07T16:51:57,Coast Dental Centre,info@coastdentalcentre.ca,Quick review mini-audit for Coast Dental Centre,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to info@coastdentalcentre.ca (status 202)""}. Status code: 200"
2026-05-07T16:51:57,Pathways Dental,info@pathwaysdental.com,Quick review mini-audit for Pathways Dental,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to info@pathwaysdental.com (status 202)""}. Status code: 200"
2026-05-07T16:51:57,Beyond Dental,info@beyonddental.ca,Quick review mini-audit for Beyond Dental,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to info@beyonddental.ca (status 202)""}. Status code: 200"
2026-05-07T16:51:58,Jacksonport Dental,info@jacksonportdental.ca,Quick review mini-audit for Jacksonport Dental,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to info@jacksonportdental.ca (status 202)""}. Status code: 200"
2026-05-07T16:51:58,Sunridge Family Dental,info@sunridgedental.ca,Quick review mini-audit for Sunridge Family Dental,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to info@sunridgedental.ca (status 202)""}. Status code: 200"
2026-05-07T16:51:59,The Port Dental,info@theportdental.ca,Quick review mini-audit for The Port Dental,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to info@theportdental.ca (status 202)""}. Status code: 200"
2026-05-07T16:51:59,Greystone Family Dental,info@greystonedental.ca,Quick review mini-audit for Greystone Family Dental,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to info@greystonedental.ca (status 202)""}. Status code: 200"
2026-05-07T16:51:59,Bow Trail Dental,info@bowtraildental.com,Quick review mini-audit for Bow Trail Dental,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to info@bowtraildental.com (status 202)""}. Status code: 200"
2026-05-07T16:52:00,Royal Vista Dental,info@royalvistadental.com,Quick review mini-audit for Royal Vista Dental,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to info@royalvistadental.com (status 202)""}. Status code: 200"
2026-05-07T16:52:00,Midpark Dental,info@midparkdental.ca,Quick review mini-audit for Midpark Dental,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to info@midparkdental.ca (status 202)""}. Status code: 200"
2026-05-07T16:52:06,Bytown Dental House,info@bytowndentalhouse.ca,Quick review mini-audit for Bytown Dental House,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to info@bytowndentalhouse.ca (status 202)""}. Status code: 200"
2026-05-07T16:52:07,Palladium Dental,info@palladiumdental.ca,Quick review mini-audit for Palladium Dental,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to info@palladiumdental.ca (status 202)""}. Status code: 200"
2026-05-07T16:53:51,Florence Dentistry,frontdesk@florencedental.com,Quick review mini-audit for Florence Dentistry,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to frontdesk@florencedental.com (status 202)""}. Status code: 200"
2026-05-07T16:53:52,aLo Dental,care@alodental.ca,Quick review mini-audit for aLo Dental,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to care@alodental.ca (status 202)""}. Status code: 200"
2026-05-07T16:54:00,Revive Dental,info@revivedental.com,Quick review mini-audit for Revive Dental,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to info@revivedental.com (status 202)""}. Status code: 200"
2026-05-07T16:54:08,Limelight Dental,appointments@limelightdental.ca,Quick review mini-audit for Limelight Dental,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to appointments@limelightdental.ca (status 202)""}. Status code: 200"
2026-05-07T16:54:16,Parkway Family Dentistry,info@parkwayfamilydentistry.ca,Quick review mini-audit for Parkway Family Dentistry,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to info@parkwayfamilydentistry.ca (status 202)""}. Status code: 200"
2026-05-07T16:57:32,Sherway Dentistry,reception@sherwaydentistry.com,Quick review mini-audit for Sherway Dentistry,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to reception@sherwaydentistry.com (status 202)""}. Status code: 200"
2026-05-07T16:57:41,Museum Dental,reception@museumdental.ca,Quick review mini-audit for Museum Dental,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to reception@museumdental.ca (status 202)""}. Status code: 200"
2026-05-07T16:57:50,Queen Street Dental Centre,info@qsdc.ca,Quick review mini-audit for Queen Street Dental Centre,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to info@qsdc.ca (status 202)""}. Status code: 200"
2026-05-07T16:57:59,Sparks Dental Clinic,info@sparksdental.com,Quick review mini-audit for Sparks Dental Clinic,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to info@sparksdental.com (status 202)""}. Status code: 200"
2026-05-07T16:58:09,Dundas Dental,frontdesk@dundasdental.ca,Quick review mini-audit for Dundas Dental,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to frontdesk@dundasdental.ca (status 202)""}. Status code: 200"
2026-05-07T16:58:19,Westboro Dental Centre,info@westborodentalcentre.com,Quick review mini-audit for Westboro Dental Centre,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to info@westborodentalcentre.com (status 202)""}. Status code: 200"
2026-05-07T16:58:29,SpaMedica Toronto,reception@spamedica.com,Quick review mini-audit for SpaMedica Toronto,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to reception@spamedica.com (status 202)""}. Status code: 200"
2026-05-07T16:58:29,Oakridge Dental Centre,reception@oakridgedentalcentre.ca,Quick review mini-audit for Oakridge Dental Centre,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to reception@oakridgedentalcentre.ca (status 202)""}. Status code: 200"
2026-05-07T16:58:30,Laserbody MD Mississauga,service@laserbodymd.ca,Quick review mini-audit for Laserbody MD Mississauga,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to service@laserbodymd.ca (status 202)""}. Status code: 200"
2026-05-07T16:58:30,Laserbody MD Toronto,service@laserbodymd.ca,Quick review mini-audit for Laserbody MD Toronto,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to service@laserbodymd.ca (status 202)""}. Status code: 200"
2026-05-07T16:58:30,Beauty Med Toronto,info@beautymed.ca,Quick review mini-audit for Beauty Med Toronto,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to info@beautymed.ca (status 202)""}. Status code: 200"
2026-05-07T16:58:30,MediOne Physicians,info@medionephysicians.com,Quick review mini-audit for MediOne Physicians,sent,2026-05-12,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to info@medionephysicians.com (status 202)""}. Status code: 200"
