business_name,niche,city,website,email,pain_angle,status
Burlington Village Dental Centre,Dental clinic,Burlington,https://www.burlingtonvillagedental.com/,info@burlingtonvillagedental.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Central burlington Dental Care,Dental clinic,Burlington,https://www.cbdentistry.ca/,info@cbdentistry.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Burlington Smile Dental,Dental clinic,Burlington,https://burlingtonsmiledental.ca/,info@burlingtonsmiledental.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Burlington Autoworks,Auto repair,Burlington,https://www.burlingtonautoworks.com/,appointments@burlingtonautoworks.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
East Hamilton Physiotherapy,Physiotherapy clinic,Hamilton,https://easthamiltonphysio.com/,info@easthamiltonphysio.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Physiotherapy Hamilton,Physiotherapy clinic,Hamilton,https://www.sterlingphysiotherapy.com/,info@sterlingphysiotherapy.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Meadowlands Physiotherapy -,Physiotherapy clinic,Hamilton,https://meadowlandsphysio.ca/,info@meadowlandsphysio.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Dia Physio Care and Wellness Center,Physiotherapy clinic,Hamilton,https://diaphysiocare.com/,info@diaphysiocare.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Merivale Dental - We’re here to help you smile,Dental clinic,Ottawa,https://merivaledentalcentre.com/contact/,info@merivaledentalcentre.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
DentoCare,Dental clinic,Ottawa,https://dentocare.ca/,info@dentocare.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Riverbank Dental,Dental clinic,Ottawa,https://riverbankdental.ca/,info@riverbankdental.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
TheraTouch Physiotherapy,Physiotherapy clinic,Ottawa,https://theratouchphysio.com/,info@theratouchphysio.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Premier Physiotherapy Ottawa,Physiotherapy clinic,Ottawa,https://premierphysiotherapyclinic.ca/contact,info@premierphysiotherapyclinic.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Pro Care Physiotherapy & Athletes' Injury Center,Physiotherapy clinic,Ottawa,https://procarephysiotherapy.com/,info@procarephysiotherapy.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
InstaMek Ottawa,Auto repair,Ottawa,https://instamek.com/cities/ottawa-mechanic/,support@instamek.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Blue Heron Dental Centre,Dental clinic,London,https://www.blueherondental.ca/,info@blueherondental.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Wellington Dentistry,Dental clinic,London,https://wellingtondentistry.ca/,info@wellingtondentistry.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Infinite Medical Spa,Med spa,London,https://infinitemedicalspa.com/,info@infinitemedicalspa.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
"London Med Spa, Skin Care & Laser Clinic",Med spa,London,https://aquamedicalspa.ca/,info@aquamedicalspa.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Redefine MD,Med spa,London,https://redefinemd.com/,info@redefinemd.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
KNTR Medical Aesthetics,Med spa,London,https://www.kntr.ca/,info@kntr.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Luxe Medical Laser Treatment Centre,Med spa,London,https://luxemedica.com/,info@luxemedica.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
London Physical Therapy Clinic,Physiotherapy clinic,London,https://www.londonphysicaltherapyclinic.com/contacts.html,info@londonphysicaltherapyclinic.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Hope 2 Health Physiotherapy,Physiotherapy clinic,London,https://hope2health.ca/contact-us/,info@hope2health.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Break Free Physiotherapy,Physiotherapy clinic,London,https://www.breakfreephysiotherapy.ca/,admin@breakfreephysiotherapy.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Aspire Physiotherapy,Physiotherapy clinic,London,https://aspirept.ca/,info@aspirept.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Ginger's Physiotherapy Place,Physiotherapy clinic,London,https://gingersphysio.com/,info@gingersphysio.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Green Auto,Auto repair,London,https://greenautoservices.ca/,info@greenautoservices.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Amin Auto And Body Shop,Auto repair,London,https://aminauto.ca/,info@aminauto.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Waterloo Dental,Dental clinic,Waterloo,https://waterloodentalcare.ca/,info@waterloodentalcare.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Dentistry in Waterloo,Dental clinic,Waterloo,https://dentistryinwaterloo.com/contact/,info@dentistryinwaterloo.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Dental Lenses,Dental clinic,Waterloo,https://www.dentallenses.ca/,info@dentallenses.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Waterloo West Dentistry,Dental clinic,Waterloo,https://waterloowestdental.com/,info@waterloowestdental.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
DENTISTRY ON PHILLIP,Dental clinic,Waterloo,https://dentistryonphillip.ca/,info@dentistryonphillip.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Embark Physical Therapy,Physiotherapy clinic,Waterloo,https://www.embarkphysicaltherapy.com/,info@embarkphysicaltherapy.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Get Right Physio,Physiotherapy clinic,Waterloo,https://getrightphysio.com/waterloo/,info@getrightphysio.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
