business_name,niche,city,website,email,pain_angle,status,_source
Marble Dental Centre,Dental clinic,Vaughan,https://marbledentalcentre.ca/contact/,info@marbledentalcentre.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://marbledentalcentre.ca/contact/
Mederm Esthetics,Med spa,Vaughan,https://medermesthetics.com/,info@medermesthetics.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://medermesthetics.com/
Chiropractor Vaughan,Physiotherapy clinic,Vaughan,https://www.chperformance.ca/,info@chperformance.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://www.chperformance.ca/
The Physiotherapy Professionals,Physiotherapy clinic,Vaughan,https://thephysiopros.com/contact-info/,info@thephysiopros.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://thephysiopros.com/contact-info/
Chiropractic & Physiotherapy Clinic,Physiotherapy clinic,Vaughan,https://www.bodyworxvitality.com/,info@bodyworxvitality.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://www.bodyworxvitality.com/
HealthBridge Physio,Physiotherapy clinic,Vaughan,https://healthbridgephysio.ca/,info@healthbridgephysio.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://healthbridgephysio.ca/
Vaughan Auto Service,Auto repair,Vaughan,https://vaughanautoservice.ca/contact-us/,info@vaughanautoservice.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://vaughanautoservice.ca/contact-us/
Health Bound Health Network,Physiotherapy clinic,Markham,https://healthbound.ca/markham/,info@healthbound.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://healthbound.ca/markham/
Markham Family Auto Center,Auto repair,Markham,https://www.markhamautos.com/contact.php,sales@markhamautos.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://www.markhamautos.com/contact.php
Yonge & Seven Dental Care,Dental clinic,Richmond Hill,https://yongeandsevendental.com/,info@yongeandsevendental.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://yongeandsevendental.com/
Eros medical Spa,Med spa,Richmond Hill,https://erosmedicalspa.com/,info@erosmedicalspa.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://erosmedicalspa.com/
O3 Med Spa,Med spa,Richmond Hill,https://ozonesaunaspa.ca/,info@ozonesaunaspa.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://ozonesaunaspa.ca/
Richmond Hill Physiotherapy,Physiotherapy clinic,Richmond Hill,https://mayaphysio.ca/,info@mayaphysio.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://mayaphysio.ca/
Olde Oakville Dental,Dental clinic,Oakville,https://oldeoakvilledental.com/contact/,info@oldeoakvilledental.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://oldeoakvilledental.com/contact/
Rebecca Dental - Dental office in Oakville,Dental clinic,Oakville,https://rebeccadental.com/,info@rebeccadental.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://rebeccadental.com/
Central Oakville Dental Care,Dental clinic,Oakville,https://codentalcare.ca/,info@codentalcare.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://codentalcare.ca/
Glenashton Dental Office,Dental clinic,Oakville,https://www.glenashtondental.ca/,info@glenashtondental.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://www.glenashtondental.ca/
Bronte Oak Dental,Dental clinic,Oakville,https://www.bronteoakdental.ca/,info@bronteoakdental.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://www.bronteoakdental.ca/
Oakville Dentist,Dental clinic,Oakville,https://www.bhandaridental.com/,info@bhandaridental.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://www.bhandaridental.com/
Oakville Medical Aesthetics,Med spa,Oakville,https://oakvillemed.ca/,info@oakvillemed.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://oakvillemed.ca/
Oakpark Physiotherapy,Physiotherapy clinic,Oakville,https://oakparkphysiotherapy.ca/,info@oakparkphysiotherapy.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://oakparkphysiotherapy.ca/
Elevate Rehabilitation and Performance,Physiotherapy clinic,Oakville,https://www.elevaterehabilitation.com/,info@elevaterehabilitation.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://www.elevaterehabilitation.com/
Speers Physiotherapy Clinic,Physiotherapy clinic,Oakville,https://speersroadphysiotherapy.com/,info@speersroadphysiotherapy.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://speersroadphysiotherapy.com/
Dennis of Oakville Auto Service,Auto repair,Oakville,https://www.dennisofoakville.ca/,service@dennisofoakville.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://www.dennisofoakville.ca/
Burlington Village Dental Centre,Dental clinic,Burlington,https://www.burlingtonvillagedental.com/,info@burlingtonvillagedental.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://www.burlingtonvillagedental.com/
Central burlington Dental Care,Dental clinic,Burlington,https://www.cbdentistry.ca/,info@cbdentistry.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://www.cbdentistry.ca/
Burlington Smile Dental,Dental clinic,Burlington,https://burlingtonsmiledental.ca/,info@burlingtonsmiledental.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://burlingtonsmiledental.ca/
Burlington Autoworks,Auto repair,Burlington,https://www.burlingtonautoworks.com/,appointments@burlingtonautoworks.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://www.burlingtonautoworks.com/Burlington-auto-repair-shop.php
East Hamilton Physiotherapy,Physiotherapy clinic,Hamilton,https://easthamiltonphysio.com/,info@easthamiltonphysio.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://easthamiltonphysio.com/
Physiotherapy Hamilton,Physiotherapy clinic,Hamilton,https://www.sterlingphysiotherapy.com/,info@sterlingphysiotherapy.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://www.sterlingphysiotherapy.com/
Meadowlands Physiotherapy -,Physiotherapy clinic,Hamilton,https://meadowlandsphysio.ca/,info@meadowlandsphysio.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://meadowlandsphysio.ca/
Dia Physio Care and Wellness Center,Physiotherapy clinic,Hamilton,https://diaphysiocare.com/,info@diaphysiocare.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://diaphysiocare.com/
Merivale Dental - We’re here to help you smile,Dental clinic,Ottawa,https://merivaledentalcentre.com/contact/,info@merivaledentalcentre.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://merivaledentalcentre.com/contact/
DentoCare,Dental clinic,Ottawa,https://dentocare.ca/,info@dentocare.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://dentocare.ca/
Riverbank Dental,Dental clinic,Ottawa,https://riverbankdental.ca/,info@riverbankdental.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://riverbankdental.ca/
TheraTouch Physiotherapy,Physiotherapy clinic,Ottawa,https://theratouchphysio.com/,info@theratouchphysio.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://theratouchphysio.com/
Premier Physiotherapy Ottawa,Physiotherapy clinic,Ottawa,https://premierphysiotherapyclinic.ca/contact,info@premierphysiotherapyclinic.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://premierphysiotherapyclinic.ca/contact
Pro Care Physiotherapy & Athletes' Injury Center,Physiotherapy clinic,Ottawa,https://procarephysiotherapy.com/,info@procarephysiotherapy.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://procarephysiotherapy.com/
InstaMek Ottawa,Auto repair,Ottawa,https://instamek.com/cities/ottawa-mechanic/,support@instamek.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://instamek.com/cities/ottawa-mechanic/
Blue Heron Dental Centre,Dental clinic,London,https://www.blueherondental.ca/,info@blueherondental.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://www.blueherondental.ca/
Wellington Dentistry,Dental clinic,London,https://wellingtondentistry.ca/,info@wellingtondentistry.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://wellingtondentistry.ca/
Infinite Medical Spa,Med spa,London,https://infinitemedicalspa.com/,info@infinitemedicalspa.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://infinitemedicalspa.com/
"London Med Spa, Skin Care & Laser Clinic",Med spa,London,https://aquamedicalspa.ca/,info@aquamedicalspa.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://aquamedicalspa.ca/
Redefine MD,Med spa,London,https://redefinemd.com/,info@redefinemd.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://redefinemd.com/
KNTR Medical Aesthetics,Med spa,London,https://www.kntr.ca/,info@kntr.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://www.kntr.ca/
Luxe Medical Laser Treatment Centre,Med spa,London,https://luxemedica.com/,info@luxemedica.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://luxemedica.com/
London Physical Therapy Clinic,Physiotherapy clinic,London,https://www.londonphysicaltherapyclinic.com/contacts.html,info@londonphysicaltherapyclinic.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://www.londonphysicaltherapyclinic.com/contacts.html
Hope 2 Health Physiotherapy,Physiotherapy clinic,London,https://hope2health.ca/contact-us/,info@hope2health.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://hope2health.ca/contact-us/
Break Free Physiotherapy,Physiotherapy clinic,London,https://www.breakfreephysiotherapy.ca/,admin@breakfreephysiotherapy.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://www.breakfreephysiotherapy.ca/
Aspire Physiotherapy,Physiotherapy clinic,London,https://aspirept.ca/,info@aspirept.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://aspirept.ca/
Ginger's Physiotherapy Place,Physiotherapy clinic,London,https://gingersphysio.com/,info@gingersphysio.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://gingersphysio.com/
Green Auto,Auto repair,London,https://greenautoservices.ca/,info@greenautoservices.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://greenautoservices.ca/
Amin Auto And Body Shop,Auto repair,London,https://aminauto.ca/,info@aminauto.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://aminauto.ca/
Waterloo Dental,Dental clinic,Waterloo,https://waterloodentalcare.ca/,info@waterloodentalcare.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://waterloodentalcare.ca/
Dentistry in Waterloo,Dental clinic,Waterloo,https://dentistryinwaterloo.com/contact/,info@dentistryinwaterloo.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://dentistryinwaterloo.com/contact/
Dental Lenses,Dental clinic,Waterloo,https://www.dentallenses.ca/,info@dentallenses.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://www.dentallenses.ca/
Waterloo West Dentistry,Dental clinic,Waterloo,https://waterloowestdental.com/,info@waterloowestdental.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://waterloowestdental.com/
DENTISTRY ON PHILLIP,Dental clinic,Waterloo,https://dentistryonphillip.ca/,info@dentistryonphillip.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://dentistryonphillip.ca/
Embark Physical Therapy,Physiotherapy clinic,Waterloo,https://www.embarkphysicaltherapy.com/,info@embarkphysicaltherapy.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://www.embarkphysicaltherapy.com/
Get Right Physio,Physiotherapy clinic,Waterloo,https://getrightphysio.com/waterloo/,info@getrightphysio.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://getrightphysio.com/waterloo/
